City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,benguela,-12.5763,13.4055,292.97,90,75,0.91,AO,1690957061
129,bondo,3.8146,23.6866,294.87,97,100,0.88,CD,1690957062
130,fort mcmurray,56.7268,-111.381,288.88,94,75,3.09,CA,1690956569
131,uturoa,-16.7333,-151.4333,299.46,71,81,5.14,PF,1690956479
132,remire-montjoly,4.9167,-52.2667,296.17,100,100,0.0,GF,1690956484
133,kingston,17.997,-76.7936,300.51,91,92,0.45,JM,1690956539
134,lihue,21.9789,-159.3672,300.73,82,100,6.69,US,1690956470
135,mount gambier,-37.8333,140.7667,288.57,65,0,4.69,AU,1690956354
136,berezovyy,51.6667,135.7,289.0,87,96,3.56,RU,1690956776
137,bikenibeu village,1.3673,173.1241,304.13,70,75,1.54,KI,1690956761
138,huarmey,-10.0681,-78.1522,292.52,86,22,3.82,PE,1690956589
139,chintamani,13.4,78.0667,300.34,50,100,10.42,IN,1690957063
140,prince george,53.9166,-122.753,287.84,62,100,3.09,CA,1690956777
141,bengkulu,-3.8004,102.2655,301.59,70,85,2.56,ID,1690956747
142,constantia,44.1833,28.65,298.54,67,94,4.97,RO,1690956498
143,simanggang,1.2472,111.4528,301.14,89,40,1.54,MY,1690957064
144,as sulayyil,20.4607,45.5779,309.29,9,68,7.46,SA,1690957064
145,talnakh,69.4865,88.3972,294.38,37,5,9.64,RU,1690956513
146,darnah,32.767,22.6367,300.68,62,0,3.21,LY,1690957065
147,yorkton,51.2167,-102.4677,292.71,42,71,3.0,CA,1690956637
148,fes,34.0372,-4.9998,292.29,68,0,1.54,MA,1690957065
149,megion,61.0296,76.1136,295.16,63,50,3.79,RU,1690957066
150,vila franca do campo,37.7167,-25.4333,298.81,91,17,2.09,PT,1690956533
151,shirhatti,15.2333,75.5833,299.35,68,99,11.06,IN,1690957066
152,guapiles,10.2159,-83.7866,299.17,94,100,1.31,CR,1690957066
153,rio grande,-32.035,-52.0986,289.32,93,0,2.79,BR,1690956594
154,maicao,11.3832,-72.2432,299.61,82,4,1.06,CO,1690957067
155,chibougamau,49.9168,-74.3659,284.89,66,100,1.68,CA,1690956522
156,greci,45.1833,28.2333,297.31,53,93,3.17,RO,1690957067
157,xai-xai,-25.0519,33.6442,291.32,69,78,5.06,MZ,1690957067
158,cholpon-ata,42.6494,77.0823,298.18,58,92,2.54,KG,1690957068
159,myeik,12.4333,98.6,301.17,85,98,6.52,MM,1690957068
160,altay,47.8667,88.1167,303.33,28,12,6.27,CN,1690957068
161,cururupu,-1.8283,-44.8683,296.55,98,22,2.09,BR,1690957068
162,saipan,15.1355,145.701,301.54,100,100,2.57,MP,1690956481
163,vilyuysk,63.7553,121.6247,297.53,29,2,2.03,RU,1690956541
164,kavieng,-2.5744,150.7967,300.78,77,91,7.48,PG,1690956579
165,puerto ayora,-0.7393,-90.3518,297.34,93,50,2.68,EC,1690956496
166,mont-laurier,46.5501,-75.4993,284.01,77,62,0.86,CA,1690956471
167,yarkovo,57.4028,67.0786,296.2,57,90,3.43,RU,1690957070
168,berdigestyakh,62.0989,126.6992,292.39,48,63,0.8,RU,1690956579
